# r(dimensionless)denity(g.cm^-3) vel/c		b^r (Gauss)	b^\phi(Gauss)	B(=\sqrt(b_mu b^\mu)G H/r	\beta		Temp (Kelvin)	Omega		v_phi
1000.		9.1551848e-21	0.00061722492	5.9973379e-6	0.000047932595	0.047932348	0.77771881	4.3384285	3.2940911e9	3.2478201e-6	0.0032505727
711.21351	1.4450113e-20	0.00081668502	0.000011850856	0.00007169239	0.050988083	0.73651905	7.631048	4.1539684e9	6.3847874e-6	0.0045463565
709.57777	1.4495402e-20	0.00081819893	0.000011905514	0.000071890704	0.051011529	0.73624451	7.659847	4.1604412e9	6.4140453e-6	0.0045566981
707.94578	1.4540846e-20	0.00081971487	0.000011960423	0.000072089636	0.051035035	0.73597008	7.6887473	4.1669244e9	6.4434376e-6	0.0045670636
706.31755	1.4586446e-20	0.00082123285	0.000012015586	0.000072289189	0.051058602	0.73569577	7.717749	4.1734178e9	6.472965e-6	0.0045774529
704.69307	1.4632203e-20	0.00082275285	0.000012071003	0.000072489366	0.05108223	0.73542159	7.7468524	4.1799217e9	6.5026281e-6	0.0045878662
703.07232	1.4678117e-20	0.00082427488	0.000012126676	0.00007269017	0.05110592	0.73514753	7.776058	4.1864359e9	6.5324275e-6	0.0045983035
701.4553	1.4724189e-20	0.00082579893	0.000012182606	0.000072891603	0.051129672	0.7348736	7.8053658	4.1929605e9	6.5623639e-6	0.0046087648
699.842		1.477042e-20	0.00082732499	0.000012238793	0.000073093668	0.051153487	0.73459979	7.8347762	4.1994956e9	6.5924379e-6	0.0046192502
698.2324	1.4816809e-20	0.00082885305	0.000012295239	0.000073296367	0.051177365	0.73432611	7.8642896	4.2060411e9	6.6226501e-6	0.0046297598
696.62651	1.4863359e-20	0.00083038312	0.000012351946	0.000073499704	0.051201306	0.73405256	7.8939061	4.2125972e9	6.6530011e-6	0.0046402936
695.02432	1.491007e-20	0.00083191518	0.000012408914	0.000073703681	0.051225311	0.73377913	7.923626	4.2191638e9	6.6834916e-6	0.0046508517
693.42581	1.4956941e-20	0.00083344924	0.000012466145	0.000073908301	0.051249381	0.73350584	7.9534497	4.2257409e9	6.7141223e-6	0.0046614341
691.83097	1.5003975e-20	0.00083498528	0.000012523639	0.000074113567	0.051273516	0.73323268	7.9833773	4.2323287e9	6.7448937e-6	0.0046720408
690.2398	1.5051172e-20	0.00083652331	0.000012581399	0.00007431948	0.051297716	0.73295965	8.0134093	4.2389271e9	6.7758066e-6	0.0046826721
688.6523	1.5098531e-20	0.00083806331	0.000012639425	0.000074526045	0.051321981	0.73268676	8.0435459	4.2455362e9	6.8068615e-6	0.0046933278
687.06844	1.5146055e-20	0.00083960528	0.000012697719	0.000074733263	0.051346313	0.732414	8.0737874	4.252156e9	6.8380592e-6	0.0047040081
685.48823	1.5193744e-20	0.00084114921	0.000012756281	0.000074941138	0.051370712	0.73214138	8.104134	4.2587865e9	6.8694003e-6	0.004714713
683.91165	1.5241598e-20	0.00084269511	0.000012815113	0.000075149673	0.051395178	0.7318689	8.134586	4.2654277e9	6.9008854e-6	0.0047254425
682.33869	1.5289618e-20	0.00084424295	0.000012874217	0.00007535887	0.051419711	0.73159655	8.1651438	4.2720798e9	6.9325152e-6	0.0047361968
680.76936	1.5337805e-20	0.00084579275	0.000012933593	0.000075568732	0.051444313	0.73132435	8.1958075	4.2787427e9	6.9642904e-6	0.0047469759
679.20363	1.5386159e-20	0.00084734449	0.000012993243	0.000075779262	0.051468983	0.73105228	8.2265776	4.2854164e9	6.9962117e-6	0.0047577798
677.64151	1.5434682e-20	0.00084889816	0.000013053168	0.000075990463	0.051493722	0.73078036	8.2574543	4.292101e9	7.0282796e-6	0.0047686086
676.08298	1.5483373e-20	0.00085045377	0.000013113369	0.000076202338	0.05151853	0.73050858	8.2884378	4.2987966e9	7.060495e-6	0.0047794623
674.52803	1.5532235e-20	0.0008520113	0.000013173848	0.000076414889	0.051543408	0.73023695	8.3195285	4.3055031e9	7.0928585e-6	0.0047903411
672.97666	1.5581267e-20	0.00085357076	0.000013234605	0.000076628119	0.051568357	0.72996546	8.3507266	4.3122206e9	7.1253706e-6	0.0048012449
671.42885	1.5630469e-20	0.00085513212	0.000013295643	0.000076842032	0.051593376	0.72969412	8.3820325	4.3189491e9	7.1580323e-6	0.0048121739
